上海公兴搬场公司（黄浦区店）	上海市茂名南路226号
上海期港投资管理有限公司	上海市黄浦区北京东路270号七楼
上海帅淇自动化控制有限公司	上海市黄浦区浙江中路535号1205室
上海向叶电子科技有限公司	上海市黄浦区广西北路528号810室
上海择富暖通设备有限公司	中国上海市黄浦区新闸路444号
上海恒通金银投资有限公司	上海黄浦区广东路689号海通证劵大厦2501室
上海英谷桥梁科技有限公司	上海市黄浦区江西中路209号354-361室
上海海龙工程技术发展有限公司	上海市黄浦区陆家浜路285号16-18f
信达律师事务所	黄浦区成都北路500号36楼(近人民广场)
上海银崎自动化设备有限公司	上海市黄浦区厦门路230弄14号
上海道冠橡塑五金有限公司	上海市黄浦区浙江中路645号
上海韩威节能科技有限公司	上海黄浦区陆家浜路1378号6层1-2
上海同威数码科技有限公司	上海市黄浦区汉口路515号汇金大厦7楼
上海轩瀛机电设备有限公司	上海市黄浦区北京东路431弄15号楼4g
上海信东升图文制作有限公司	上海市黄浦区厦门路250号
上海佳颉自动化仪表有限公司	中国上海市黄浦区香港路111号 206室
上海富飞五金机电设备有限公司	上海市黄浦区牛庄路704号
上海尼欧信息科技发展有限公司	上海市黄浦区方斜路525弄2号楼804室
日睿咨询有限公司	黄浦区浙江中路400号春申江大厦4楼(近天津路)
上海瑞应五金机械有限公司	中国上海上海市黄浦区江西中路461号
上海坚创电子商务有限公司	上海市黄浦区陆家浜路285号1101-1104室(三角大厦)
上海伟承物业管理有限公司	上海市黄浦区中山南路917号6h
上海连盛信息科技股份有限公司	上海市黄浦区福建中路205号中怡大厦1506室
上海寓蓉五金机电有限公司	上海市黄浦区北京东路850弄23号
上海浦胜五金交电有限公司	上海市黄浦区北京东路731号
上海颖佑自动化科技有限公司	上海市黄浦区北京东路668号
上海缘盛高温线缆有限公司	上海市黄浦区北京东路851号a24专营各类高温线环保高温线沪
上海翰尔国际贸易有限公司	上海市黄浦区盛泽路8号宁东大厦11楼a座
上海浩阳文化传播有限公司	上海市新黄浦区瑞金南路1号海兴广场22楼e座
上海沪琪特种电线电缆有限公司	上海市黄浦区山西南路331弄4号25室沪
上海豹海国际货运代理有限公司	上海黄浦区北海路8号1308室
上海沛屹纳米科技发展有限公司	上海市黄浦区陆家浜路1378号万事利大厦5a03沪
偶的婚礼事务所	黄浦区天津路475号中博商务楼326室(近南京路步行街)  公交/驾车
易雅达做网站公司	黄浦区西藏中路268号16楼(近南京东路)
上海国信证券投资有限公司	上海市黄浦区北京东路668号科技京城
上海托林机电科技有限公司	上海市黄浦区陆家浜路1295号金田商务中心407b
上海六星精密合金有限公司	中国上海市黄浦区上海市南苏州路877号河畔明珠大厦3号602室
上海意多丰信息科技有限公司	制造局路787号上海市黄浦区科技工业大楼5层518
上海程盛商务服务有限公司	上海市黄浦区丽水路1号706室（近人民路）
上海昶磊橡塑五金有限公司	上海市黄浦区北京东路668号b420
上海福士文化传播有限公司	上海南外滩黄浦区中山南路76号滨江欣景大酒店2楼
上海龙永机配成套有限公司	上海市黄浦区厦门路68号
上海江南船舶工程有限公司	制造局路787号上海市黄浦区科技工业大楼
上海恩梯梯通信工程有限公司	上海市黄浦区黄河路201鸿祥大厦8楼
上海优尔法律信息咨询有限公司	上海市黄浦区浙江中路398号沪
级干冰有限公司	上海市黄浦区西藏中路165号 ,
上海诺耐德质量认证服务有限公司	中国上海市黄浦区黄家阙路65号惠德大厦12楼
联合律师事务所	黄浦区延安东路222号外滩中心17楼
上海曼斯贝勒鞋业有限公司	上海市黄浦区斜土东路339号大都鞋城156-157-170档
上海仰景节能科技有限公司	上海市黄浦区北京东路667号科技京城西30楼
上海浩毅橡塑制品有限公司	上海市黄浦区牛庄路745号
百汇金业有限公司	上海黄浦区九江路288号(地铁2号线南京东路站3号口)宏伊国际广场25楼
上海梓弘机电设备有限公司	中国上海市黄浦区北京东路689号(密封件专卖)
上海真智爱游乐设备有限公司	上海黄浦区西藏南路1739弄4号1201室近中山南一路
上海晶添航空服务有限公司	上海市黄浦区复兴东路733号1501室
上海美星粉尘技术有限公司	制造局路787号上海市黄浦区科技工业大楼5层511
上海金思五金机电设备有限公司	上海市黄浦区北京东路805号104室
上海海申产权经纪有限公司	上海市黄浦区广东路689号海通证券大厦3508室上海海申产权经纪有限
上海仁言供应链管理有限公司	上海市黄浦区山东中路33号520
上海朋联不锈钢标准件有限公司	中国上海市黄浦区浙江中路681号底层
上海海阳印刷有限公司	上海黄浦区江阴街54号
上海久馨健康科技有限公司	上海市制造局路787号黄浦区科技创业中心大楼3层沪
上海具星文化传播有限公司	上海市黄浦区汉口路650号811(亚洲大厦)
上海伟达旅业物品有限公司	上海市黄浦区重庆北路318弄1号楼14e
上海歆睿企业管理咨询有限公司	上海市黄浦区西藏南路1108弄5号305室
上海旭佳印务技术有限公司	上海市黄浦区普育西路103号f楼203
上海意航建设(集团)有限公司	上海市黄浦区中山东二路15号
上海亚湾酒店管理有限公司	上海市黄浦区新桥路68号新桥大厦1303室
上海置亿自动化设备有限公司	上海市黄浦区芝罘路80号
上海云永自动化科技有限公司	上海市黄浦区北京东路668号科技京城西楼9层c座
上海宁远礼品有限公司	上海市黄浦区福州路258号
上海鸿香生物科技有限公司	上海市黄浦区中华路567号18楼a座
上海梓通实业有限公司	黄浦区天津路483弄8号3楼
上海文华化工颜料有限公司	中国上海市上海黄浦区江西中路120号甲
上海优饰珠宝贸易有限公司	上海黄浦区南京西路818号1612-1613室
上海启彬财务咨询有限公司	上海市黄浦区复兴中路1号申能国际大厦1209b室近西藏南路
上海铸江机电设备有限公司	上海市黄浦区北京东路668号
上海丰行筛网制造有限公司	中国上海市上海市黄浦区厦门路60弄4号(靠近北京东路)
上海水莲文化传播有限公司	上海市黄浦区人民路840号市场部
上海溱轩五金机械有限公司	上海市黄浦区浙江中路642号
上海翼格企业管理咨询有限公司	上海市黄浦区北京东路668号科技京城西座30楼a25室
上海江汇船舶工程有限公司	制造局路787号上海市黄浦区科技工业大楼4层401
上海美化建筑装饰有限公司	上海市黄浦区云南北路59号805-808
上海潮汛摄影器材有限公司	上海市黄浦区中华路868弄34号201室
上海特晟筛滤器材有限公司	上海市黄浦区北京东路827号
上海馥美商务服务有限公司	中国上海市黄浦区福州路107号347室
上海蓝英仪器仪表有限公司	上海市黄浦区北京东路668号西楼6层 /
上海花想容化妆品有限公司	上海市黄浦区南车站路69弄1号楼14层
上海德馨机电设备有限公司	上海市黄浦区北京东路465号
上海鑫海不锈钢制品有限公司	中国上海市上海市黄浦区北京东路796号
上海仡亚空调电器有限公司	中国上海市黄浦区西藏南路1407号3号楼
上海傲马液压气动成套有限公司	上海市黄浦区北京东路601号
上海帝亚制冷设备工程有限公司	上海市黄浦区新闸路420号工厂
上海仝晔信息科技有限公司	上海市黄浦区北海路8号福申大厦1410室
上海银轮橡塑制品有限公司	中国上海市黄浦区南苏州路463号
上海驰畅金属软管有限公司	上海黄浦区西藏中路656号美华大楼818室
上海艾佑通信技术发展有限公司	上海市黄浦区北京东路668号科技京城c512室
上海杏然电子科技有限公司	上海市黄浦区福州路567号603室
上海谢氏花边面料有限公司	黄浦区永安路15号(近人民路)
上海航仟装饰材料有限公司	中国上海市黄浦区上海市黄浦区宁波路564号
上海高贤达精密工具有限公司	上海市黄浦区北京东路668号上海科技京城**裙楼四楼a436室
上海吉晨保安服务有限公司	黄浦区瞿溪路801号608室
上海宝新仪器仪表有限公司	上海市黄浦区香港路111号223室
上海维提电子科技有限公司	上海市黄浦区北京东路668号科技京城c801
上海依瑞莎发制品有限公司	上海市黄浦区陆家浜路1059号(靠进大兴街)
上海佑为生物科技有限公司	上海市黄浦区西藏南路897号
上海冰河动画艺术有限公司	上海市黄浦区新桥路68号新桥大厦1306-1309
上海上实置业投资咨询有限公司	上海市黄浦区复兴东路733号香港名都办公楼904室
亿贸贷款有限公司	上海市黄浦区中华路308号东仁商贸中心[全国各地均有办事人员]
嘉源律师事务所	黄浦区西藏中路18号港陆广场27楼2703,2704室
上海春云橡塑制品有限公司	上海市黄浦区浙江中路503号
上海恩州仪器股份有限公司	上海市黄浦区普育东路227号
上海城建国际工程有限公司	上海市黄浦区四川南路5号/200002
上海淇玥高温线缆有限公司	上海市黄浦区南苏州路333号1a
上海洲航船舶机电有限公司	上海市黄浦区广西北路528号1005室
上海臻云信息科技有限公司	上海市黄浦区北京东路666号b区609-2室
上海欧源国际快递有限公司	上海市黄浦区南京西路270弄21号
上海予丰清洁设备有限公司	上海市黄浦区云南南路346弄19号
上海友佳清洁服务有限公司	黄浦区先棉祠街36号101—104室
上海宏旺保洁公司黄浦分公司	上海黄浦区制造局路305号
上海上勤会展服务有限公司	上海市黄浦区福州路200号
上海遂昌旅行社有限公司	上海市黄浦区威海路168号长发大厦2号楼2502室,遂昌服务部
上海翠远电子仪器有限公司	中国上海市黄浦区科技京城
上海菲恩自控阀门有限公司	上海市黄浦区香港路111号241-242室
翱勤（上海）广告有限公司	上海黄浦区陆家浜路1011号新世纪大厦1319室
上海星耀经贸发展有限公司	中国上海市黄浦区上海市黄浦区瞿溪路301-7-101
上海德重特种起重机械有限公司	中国上海市黄浦区贵州路263号2楼
上海博脉企业管理咨询有限公司	上海市黄浦区申鑫大厦1408室
上海耀麟投资管理有限公司	上海市黄浦区新闸路218号中泰公寓303室
上海高田照相器材有限公司	上海市新黄浦区鲁班路300号3楼301室
上海晶盈园林绿化工程有限公司	上海市黄浦区宁海东路77号网站
上海仙鑫机电设备有限公司	中国上海市黄浦区新闸路66弄136号
上海爱润生物科技有限公司	黄浦区汉口路515号901
上海企越高温线缆有限公司	上海市黄浦区石潭弄200号
上海馨苑绿化养护有限公司	上海市黄浦区成都北路
上海兰丰泵业制造有限公司	中国上海市上海市黄浦区北京东路668号西楼-14c
上海新明伟货运代理有限公司	黄浦区中山南路1228号
上海华楼房地产咨询有限公司	上海市黄浦区云南北路59号709室
上海誉录信息技术有限公司	上海市黄浦区淮海东路45-49号东淮海国际大厦903-904室
上海宜茗嘉人才服务有限公司	上海市黄浦区人民路885号淮海中华大厦605室
上海硕捷信息咨询有限公司	上海市黄浦区瞿溪路809号403室
上海金渠投资管理有限公司	上海市黄浦区福州路318号高腾大厦2006-2007室
上海卡淘思文化传播有限公司	黄浦区陆家浜路1295号2号403B(红房子医院)
上海帅杰电子科技有限公司	上海市黄浦区北京东路668号G310
上海竹林脚手架工程有限公司	上海市黄浦区万裕街68号
上海亚液五金机电有限公司	中国上海市上海黄浦区石潭弄202号(近福建中路490号)
上海翔晟企业管理有限公司	上海市黄浦区北京东路465号1909室
上海汇圣电气设备有限公司	中国上海市黄浦区上海市贵州路231号
上海蓝展光电科技有限公司	上海市黄浦区四川中路200号203室
上海宇磁信息科技有限公司	上海市黄浦区北京东路668号西楼20a
上海富庆不锈钢材料有限公司	上海市黄浦区贵州路315号
上海伟亚五金索具有限公司	中国上海市黄浦区上海市北京东路742号
上海昶成机电科技有限公司	制造局路787号上海市黄浦区科技工业大楼底层005
上海竟迪电子科技有限公司	中国上海市黄浦区北京东路668号东楼地下一层c127
上海保睿鑫自动化设备有限公司	中国上海市黄浦区北京东路668号赛格电子市场2e32柜
上海年源国际贸易有限公司	上海市黄浦区南苏州路333号华隆大厦606
上海婚姻调查商务有限公司	黄浦区南京东路61号
上海长丰微波公司	制造局路787号上海市黄浦区科技工业大楼5层504
上海市建设工程质量检测中心黄浦区分中心	普育东路15
上海全辰保洁服务有限公司	黄浦区金陵东路300弄27号
上海慧典机电设备有限公司	中国上海市黄浦区北京东路668号地下一层a36室
上海仲冠印章技术有限公司	黄浦区四川南路29号金陵大楼201室
上海佳誉迪仪器仪表有限公司	中国上海市黄浦区北京东路535号
上海申穗农副产品有限公司	上海市黄浦区五里桥路219号322室
上海尚启机电设备有限公司	上海市黄浦区牛庄路619号205室
上海佳联环保科技有限公司	上海市黄浦区西藏南路1277弄4号401室
上海昂贝电子科技有限公司	中国上海市上海市黄浦区北京东路668号科技京城c区9楼
上海锦子昌电子科技有限公司	上海市黄浦区老西门中华路1299弄2号
上海宙通机电设备有限公司	上海黄浦区福建中路490号边门
上海尼博动力设备有限公司	上海市黄浦区浙江中路581号
上海优内特信息技术有限公司	上海市黄浦区北京东路668号科技京城西楼13层K座
上海骏江液压气动设备有限公司	上海市黄浦区南苏州路175号128室
上海知圣实业发展有限公司	中国上海市黄浦区方斜路525号2号楼1904室
上海狄派建筑装饰设计有限公司	上海黄浦区陆家浜路18号
上海荣春橡塑机电设备有限公司	上海市黄浦区北京东路851号a-40
上海罡沃氟胶制品科技有限公司	上海市黄浦区福建中路604号(北京东路石潭弄路口
上海剑封焊割设备有限公司	上海市黄浦区北京东路850弄10号
三泉教育公司	上海市黄浦区
上海纵弘实业有限公司	黄浦区大境路101号2搂
上海浦伟机电设备有限公司	上海市黄浦区黄家阙路92号209室
上海迈集五金工具有限公司	上海市黄浦区北京东路科技京城668号
上海楚佳自动化机电有限公司	上海市黄浦区北京东路465号a6室
上海望道电力科技有限公司	上海市黄浦区山西南路350号
上海红桤网络科技有限公司	上海市黄浦区复兴东路733号香港名都1201室
上海兴承文化传播有限公司	上海黄浦区黄河路253弄27号
上海靖怡国际物流有限公司	上海市黄浦区外马路1218号东楼409室
上海达畅机电设备有限公司	上海市黄浦区北京东路679号
上海嘉慧珠宝首饰有限公司	上海市黄浦区中山南路200弄9号1701室
上海尚海派投资管理有限公司	上海黄浦区陆家浜路18号
上海立勋五金刀具有限公司	上海市黄浦区贵州路263号217室沪
上海开翔不锈钢制品有限公司	上海黄浦区牛庄路657号
上海派申五金机电有限公司	中国上海市黄浦区上海黄埔区宁波路74弄4号103室
上海公兴搬场公司（西藏中路店）	上海市黄浦区西藏中路268号
大华会计师事务所	黄浦区金陵东路2号光明大厦10楼
Funny音乐事务所	黄浦区北京东路668号西楼30楼(近浙江中路)
上海申环环保工程设备有限公司	上海市黄浦区国货路236号308室
上海依威诺有害生物防治有限公司	上海市黄浦区大兴街33号407室
上海鸣仁信息科技有限公司	上海市黄浦区桃源路85号永银大厦3楼雷格斯永银大厦中心3026室
上海电邦信息科技有限公司	中国上海黄浦区方斜路525号2号楼1103 -上海
上海工保自动化仪表有限公司	上海市黄浦区浙江中路583弄32号总部
美达律师事务所	上海市黄浦区
上海迈克电热仪表有限公司	上海市黄浦区石潭弄250号509室网站
上海日强家庭保洁公司黄浦店	黄浦区陆家浜路258号
上海恒森冷热设备有限公司	中国上海市黄浦区新闸路413-415号
上海今日文化交流有限公司	上海市黄浦区瞿溪路907号1号楼504室
上海万荷电气设备有限公司	中国上海市黄浦区黄浦区北京东路668号赛格电子市场2a07
上海功德林素食有限公司	黄浦区南京西路445号(近成都北路)
上海易研网络科技有限公司	上海市黄浦区制造局路787号5楼关于易研  试用下载  职场招聘
上海创进科技发展有限公司	黄浦区山东北路5号(近南京东路苹果店后面)
上海励健营销策划有限公司	上海市黄浦区丽园路333弄黄浦新苑5号楼101室
上海雄恒医疗技术服务有限公司	上海市黄浦区汉口路515号汇金大厦14层01室
上海帅政机电成套设备有限公司	中国上海市黄浦区上海市黄浦区北京东路805号125-126展位
上海迅嘉电器自动化设备有限公司	中国上海市黄浦区北京东路668号科技京城西楼610室
上海市中停车服务管理有限公司	上海市黄浦区陆家浜路1139号六角大楼5楼
上海奔曼音响科技有限公司	上海市黄浦区丰记码头弄3号
上海冠馨五金装饰材料有限公司	上海市黄浦区宁波路597号
上海环盈气动液压元件有限公司	中国上海市黄浦区北京东路833号2楼b10室
上海艾搜网络科技有限公司	上海市黄浦区人民路998号l7
上海丽声文化传播有限公司	上海市黄浦区
上海世工量具刃具有限公司	上海市黄浦区山西南路350号2203室
上海杨氏阀门管件有限公司	中国上海市黄浦区贵州路297弄11号
上海舜芯企业管理有限公司	上海市黄浦区广西北路528号428室
上海佳居酒店管理有限公司	上海市黄浦区江西中路135弄11号
上海古传帅文化传播有限公司	黄浦区人民广场湖北路20号中信福申大楼18a
上海益健物业管理有限公司	上海市黄浦区成都北路152弄13号
上海倾欣五金制品有限公司	上海市黄浦区厦门路136弄11号
上海浮华检测仪器有限公司	上海市黄浦区牛庄路704-1号
上海九墨文化传播有限公司	上海黄浦区西藏南路1200号1号2201室
上海荣鉴国际物流有限公司	上海市黄浦区新闸路356号悦达黄浦河滨大厦703室(200003)沪
上海驰美国际货运代理有限公司	上海市黄浦区方斜路525号
上海明贵印务有限公司	黄浦区福佑路338号
上海若一电子科技有限公司	上海市黄浦区北京东路731号
上海众球机床附件有限公司	中国上海市黄浦区上海南苏州路1455号2号楼2311室
上海仲加通	上海市黄浦区新闸路356号悦达黄浦河滨大厦602室
上海森永办公设备有限公司	上海市黄浦区外马路1218号南楼316室
上海圣螺比固紧固件有限公司	上海市黄浦区浙江中路655号
上海欧虎网络科技有限公司	上海市黄浦区北京东路668号科技京城西楼29楼
上海柯勤文化传播有限公司	上海市黄浦区北京西路319号
上海璟能影像科技有限公司	上海市黄浦区制造局路787号
上海富为电子科技有限公司	中国上海市黄浦区上海市黄浦区北京东路668号2f91
上海凯芝机电标准件有限公司	上海市黄浦区芝罘路42号
美全实业有限公司	黄浦区黄浦区宁波路621号(近贵州路口)
马劲(上海)贸易有限公司	上海黄浦区陆家浜路1378号万事利大厦704室
电气设备有限公司	上海市黄浦区宁波路349号
上海彩圣信息科技有限公司	制造局路787号上海市黄浦区科技工业大楼4层401-403
上海极寒数字科技有限公司	上海市黄浦区南苏州路1295号3f
佐竹（上海）贸易有限公司	上海市黄浦区淮海中路887号
宇歌贸易(上海)有限公司	上海市黄浦区河南南路33号(新上海城市广场)7楼d,e室
上海仪嘉贸易发展有限公司	上海市黄浦区广西北路528号1307室(浙江中路北京东路口)
上海寻程网络科技有限公司	黄浦区北京东路433号物资大厦2007座(近山西南路)
上海信传服装辅料有限公司	中国上海市黄浦区人民路388号上海滩商厦二楼282号东边电梯口
上海聚昌机床附件有限公司	黄浦区厦门路230弄11号
上海诺曈医疗器械有限公司	上海市黄浦区陆家浜路413号5号楼1404b室
上海乐中乐机电科技有限公司	制造局路787号上海市黄浦区科技工业大楼1层110
上海原动文化发展有限公司	上海市黄浦区普育西支路9号
上海金纬物流工程技术有限公司	制造局路787号上海市黄浦区科技工业大楼1层107
上海晋潞电子科技有限公司	中国上海市黄浦区北京东路668号赛格市场2e33
上海博聂科信息技术有限公司	上海市黄浦区陆家浜路1396
上海震殿文化传播有限公司	上海市黄浦区新桥路68号新桥大厦 1718室
巧智科技有限公司	上海市黄浦区西藏南路750号桥苑公寓8层a座(近方斜路路口)
上海顿宇仓储设备有限公司	上海黄浦区江阴街401弄1号楼1002室
上海鸿冠信息科技有限公司	上海市黄浦区汉口路300号解放日报大厦10楼
上海乾锦建设发展有限公司	中国上海市黄浦区广西北路528号安基大厦1301室
上海裕颖传动系统有限公司	上海市黄浦区北京东路815号
上海慧祥电线电缆有限公司	上海市黄浦区宁波路349号
上海强新包装科技有限公司	制造局路787号上海市黄浦区科技工业大楼102、106
上海广谐机电设备有限公司	中国上海市黄浦区厦门路242号305室
上海新汇美材有限公司	黄浦区金坛路2号2-3楼(近中华路)
上海苑宇电线电缆制造有限公司	中国上海市黄浦区广西北路528号1408室
上海恒心五金机电有限公司	上海黄浦区北京东路615号
上海仁可和服装辅料有限公司	中国上海上海市黄浦区四川南路38号b幢二楼全层
上海璟玥文化艺术发展有限公司	上海市黄浦区中山南路1228号3楼A区
上海宇韵投资咨询有限公司	上海市黄浦区方斜路269号
上海福庭保洁公司黄浦分公司	黄浦区福州路107号附近
上海行者软件技术有限公司	上海市黄浦区新闸路249号3号楼6f-g座
上海永名房地产经纪有限公司	上海市黄浦区瞿溪路291号
上海申承网络科技有限公司	上海市黄浦区肇嘉浜路96号瑞金商务中心604室沪
上海圣毕优机电轴承有限公司	上海黄浦区牛庄路614号
上海静洋自动化科技有限公司	上海市黄浦区北京东路668号科技京城一楼b区120室
上海挚禾信息科技有限公司	上海黄浦区淮海东路45号东淮海国际大厦9楼
上海城阳投资担保有限公司	上海市黄浦区湖北路汇金大厦
上海馨宿装饰设计有限公司	制造局路787号上海市黄浦区科技工业大楼1层109
上海乐艾电子商务有限公司	黄浦区延安东路55号工商联大厦31层
上海亚繁金殿投资管理有限公司	上海市黄浦区丽水路81号2-6楼
上海豪傲机电设备有限公司	上海黄浦区北京东路805号404室
上海优索管理咨询有限公司	上海市黄浦区斜土路768号致远大厦18楼l座.
上海鑫领信息科技有限公司	上海市制造局路787号黄浦区科技创业中心 310室
上海通盛拆房工程有限公司	上海市黄浦区新闸路200号315—318室
稳达物流公司	黄浦区河南南路33号新上海城市广场9f-g座
上海讯丰光纤设备有限公司	上海黄浦区北京东路668号科技京城a153
上海密乐橡塑五金有限公司	上海市黄浦区北京东路495号
上海意帮家政服务有限公司	上海市黄浦区城隍庙学院路234号
上海日旺企业登记代理有限公司	上海市黄浦区新桥路68号新桥大厦1503室(黄浦区税务局楼上),(地铁1号线1号出口对面)
上海亿瑶泵阀设备有限公司	上海市黄浦区长沙路143号
上海晨光二手电脑回收公司	上海市黄浦区复兴东路112号(http
上海蓬博机械配件有限公司	中国上海市中国上海黄浦区北京东路152号
上海仁臣房地产经济事务所	上海市黄浦区三牌楼路122号
上海庞大机电设备有限公司	上海市黄浦区芝罘路50-54号(靠近北京东路和贵州路)
上海新成文教仪器有限公司	上海市黄浦区陆家浜路1378号万事利大厦2405-2407室
上海兆丽自动化设备有限公司	上海市黄浦区北京东路731号晶滩电子市场1n03
上海永杰知识产权代理有限公司	上海市黄浦区陆家浜路1398号恒升大厦a2102室
上海钰莱仪器仪表有限公司	中国上海市黄浦区北京东路668号科技京城a区a315室上海钰莱仪器仪表有限
上海或非气动液压有限公司	制造局路787号上海市黄浦区科技工业大楼2层204、209
上海景瑞工贸发展有限公司	上海黄浦区金陵东路368号金陵商厦6楼606b室
上海斯迈康生物科技有限公司	上海市黄浦区延安东路55号工商联大厦2915-2916室 200002
上海菱宏电梯配件有限公司	上海市黄浦区西藏南路1090弄1号楼110室
上海来福建筑技术有限公司	上海市黄浦区宁海东路200号申鑫大厦2212室
施克|上海盈颂机电科技有限公司	中国上海市黄浦区(美华大厦)西藏中路656号8楼807座
上海三优服装辅料有限公司	上海市黄浦区福佑路427号1楼316
上海群尚仪器仪表有限公司	上海市黄浦区北京东路668号2b19b
上海奉灿保洁公司(跨龙路店)	黄浦区跨龙路120号
上海前锦电器成套有限公司	上海黄浦区北京东路666号a322室(科技京城内)
秉盛律师事务所	上海市黄浦区淮海中路2~8号兰生大厦8层
上海大任光电科技有限公司	上海市黄浦区大林路338号
虹口保险公司	上海市黄浦区人民路858号中国人寿大厦(上海市总部)
上海创游投资咨询有限公司	上海市黄浦区延安东路222号外滩中心18层
上海驰睿软件技术有限公司	上海市黄浦区新桥路68号新桥大厦21楼2125室
上海华彩照明工程有限公司	上海市黄浦区西藏南路748号b212室
上海丽珍文化传播有限公司	上海市黄浦区豫园老街52号
上海奥才企业管理有限公司	上海市黄浦区延安东路588号东海商业中心东
上海理明环保工程有限公司	上海市黄浦区中华路990号705室
上海猎冠安全防范技术有限公司	中国上海市黄浦区方斜路515号
黄浦保洁公司	黄浦区西藏南路1228号
上海大桥保安服务有限公司	上海黄浦区方斜路515号
上海安珂商务信息有限公司	上海市黄浦区延安东路588号东海商业中心内
上海民熙五金工具有限公司	上海市黄浦区江西中路481号107室
上海锦霖华数码科技有限公司	上海市黄浦区中山南路969号谷泰滨江大厦13楼
上海百良谷实业发展有限公司	上海市黄浦区新桥路68号新桥大厦1719室
上海纤讯信息科技有限公司	上海市黄浦区云南南路180号淮云大厦7楼
上海观和生态农业科技有限公司	上海市黄浦区丽园路501号a1楼205室
上海朗尤光电科技有限公司	中国上海市黄浦区上海市黄浦区西藏南路889号309室
黄浦区	黄浦区
